datetime,datetime_hour,temp,rain,wdsp,wddir,vis,clht,ww,w,season,temp_roll,wdsp_roll3h,date
2025-10-27 00:00:00,2025-10-27 00:00:00,9.4,0.0,17,260,20000.0,27,2,11,Autumn,9.4,17.0,2025-10-27
2025-10-27 01:00:00,2025-10-27 01:00:00,9.2,0.0,17,270,20000.0,26,2,11,Autumn,9.3,17.0,2025-10-27
2025-10-27 02:00:00,2025-10-27 02:00:00,9.1,0.0,17,270,20000.0,999,2,11,Autumn,9.233333333333333,17.0,2025-10-27
2025-10-27 03:00:00,2025-10-27 03:00:00,9.4,0.0,15,270,20000.0,37,2,11,Autumn,9.275,16.333333333333332,2025-10-27
2025-10-27 04:00:00,2025-10-27 04:00:00,8.9,0.0,18,270,20000.0,999,2,11,Autumn,9.2,16.666666666666668,2025-10-27
2025-10-27 05:00:00,2025-10-27 05:00:00,8.4,0.0,17,270,20000.0,999,2,11,Autumn,9.066666666666666,16.666666666666668,2025-10-27
2025-10-27 06:00:00,2025-10-27 06:00:00,8.3,0.0,16,270,20000.0,999,2,11,Autumn,8.883333333333335,17.0,2025-10-27
2025-10-27 07:00:00,2025-10-27 07:00:00,8.4,0.0,13,270,20000.0,180,2,11,Autumn,8.75,15.333333333333334,2025-10-27
2025-10-27 08:00:00,2025-10-27 08:00:00,8.4,0.0,11,260,25000.0,160,2,11,Autumn,8.633333333333335,13.333333333333334,2025-10-27
2025-10-27 09:00:00,2025-10-27 09:00:00,9.1,0.0,11,270,25000.0,140,2,11,Autumn,8.583333333333334,11.666666666666666,2025-10-27
2025-10-27 10:00:00,2025-10-27 10:00:00,9.8,0.0,13,270,25000.0,120,2,11,Autumn,8.733333333333334,11.666666666666666,2025-10-27
2025-10-27 11:00:00,2025-10-27 11:00:00,10.3,0.0,11,270,25000.0,80,2,11,Autumn,9.05,11.666666666666666,2025-10-27
2025-10-27 12:00:00,2025-10-27 12:00:00,10.7,0.0,10,260,25000.0,80,2,11,Autumn,9.450000000000001,11.333333333333334,2025-10-27
2025-10-27 13:00:00,2025-10-27 13:00:00,10.6,0.0,8,260,20000.0,40,60,62,Autumn,9.816666666666666,9.666666666666666,2025-10-27
2025-10-27 14:00:00,2025-10-27 14:00:00,10.7,0.0,6,250,20000.0,40,60,62,Autumn,10.200000000000001,8.0,2025-10-27
2025-10-27 15:00:00,2025-10-27 15:00:00,9.7,0.0,6,240,16000.0,20,58,65,Autumn,10.299999999999999,6.666666666666667,2025-10-27
2025-10-27 16:00:00,2025-10-27 16:00:00,9.4,0.3,6,190,5000.0,6,58,65,Autumn,10.233333333333334,6.0,2025-10-27
2025-10-27 17:00:00,2025-10-27 17:00:00,11.0,1.2,5,160,4000.0,6,58,65,Autumn,10.35,5.666666666666667,2025-10-27
2025-10-27 18:00:00,2025-10-27 18:00:00,11.9,0.2,11,250,7000.0,6,58,65,Autumn,10.549999999999999,7.333333333333333,2025-10-27
2025-10-27 19:00:00,2025-10-27 19:00:00,11.8,0.0,14,250,8000.0,10,58,65,Autumn,10.75,10.0,2025-10-27
2025-10-27 20:00:00,2025-10-27 20:00:00,11.8,0.0,12,250,8000.0,10,58,65,Autumn,10.933333333333332,12.333333333333334,2025-10-27
2025-10-27 21:00:00,2025-10-27 21:00:00,11.4,0.1,13,240,8000.0,8,58,65,Autumn,11.216666666666669,13.0,2025-10-27
2025-10-27 22:00:00,2025-10-27 22:00:00,10.9,1.4,14,240,6000.0,8,60,65,Autumn,11.466666666666667,13.0,2025-10-27
2025-10-27 23:00:00,2025-10-27 23:00:00,10.5,0.0,19,270,30000.0,200,21,62,Autumn,11.383333333333333,15.333333333333334,2025-10-27
2025-10-28 00:00:00,2025-10-28 00:00:00,10.0,0.0,18,260,30000.0,200,2,65,Autumn,11.066666666666668,17.0,2025-10-28
2025-10-28 01:00:00,2025-10-28 01:00:00,9.6,0.0,16,260,30000.0,200,2,11,Autumn,10.700000000000001,17.666666666666668,2025-10-28
2025-10-28 02:00:00,2025-10-28 02:00:00,9.6,0.0,13,250,20000.0,200,2,11,Autumn,10.333333333333334,15.666666666666666,2025-10-28
2025-10-28 03:00:00,2025-10-28 03:00:00,9.8,0.0,12,250,20000.0,40,2,11,Autumn,10.066666666666666,13.666666666666666,2025-10-28
2025-10-28 04:00:00,2025-10-28 04:00:00,9.3,0.0,13,250,20000.0,40,2,11,Autumn,9.8,12.666666666666666,2025-10-28
2025-10-28 05:00:00,2025-10-28 05:00:00,9.3,0.0,14,250,20000.0,40,2,11,Autumn,9.6,13.0,2025-10-28
2025-10-28 06:00:00,2025-10-28 06:00:00,9.2,0.0,13,250,20000.0,999,2,11,Autumn,9.466666666666667,13.333333333333334,2025-10-28
2025-10-28 07:00:00,2025-10-28 07:00:00,8.8,0.0,15,260,20000.0,999,2,11,Autumn,9.333333333333334,14.0,2025-10-28
2025-10-28 08:00:00,2025-10-28 08:00:00,9.3,0.0,13,250,20000.0,200,2,11,Autumn,9.283333333333333,13.666666666666666,2025-10-28
2025-10-28 09:00:00,2025-10-28 09:00:00,9.4,0.0,13,250,20000.0,999,2,11,Autumn,9.216666666666667,13.666666666666666,2025-10-28
2025-10-28 10:00:00,2025-10-28 10:00:00,10.7,0.0,13,250,25000.0,999,2,11,Autumn,9.450000000000001,13.0,2025-10-28
2025-10-28 11:00:00,2025-10-28 11:00:00,10.6,0.0,12,250,25000.0,19,2,11,Autumn,9.666666666666666,12.666666666666666,2025-10-28
2025-10-28 12:00:00,2025-10-28 12:00:00,11.7,0.0,11,250,25000.0,46,2,11,Autumn,10.083333333333334,12.0,2025-10-28
2025-10-28 13:00:00,2025-10-28 13:00:00,10.7,0.2,11,250,18000.0,46,80,82,Autumn,10.4,11.333333333333334,2025-10-28
2025-10-28 14:00:00,2025-10-28 14:00:00,12.1,0.0,9,240,35000.0,999,25,81,Autumn,10.866666666666665,10.333333333333334,2025-10-28
2025-10-28 15:00:00,2025-10-28 15:00:00,10.6,0.0,10,240,10000.0,28,80,81,Autumn,11.066666666666665,10.0,2025-10-28
2025-10-28 16:00:00,2025-10-28 16:00:00,10.7,0.1,9,230,25000.0,999,25,81,Autumn,11.066666666666665,9.333333333333334,2025-10-28
2025-10-28 17:00:00,2025-10-28 17:00:00,10.0,0.0,8,240,25000.0,50,2,11,Autumn,10.966666666666667,9.0,2025-10-28
2025-10-28 18:00:00,2025-10-28 18:00:00,9.4,0.1,6,220,16000.0,36,80,81,Autumn,10.583333333333334,7.666666666666667,2025-10-28
2025-10-28 19:00:00,2025-10-28 19:00:00,9.5,0.0,6,190,25000.0,50,25,82,Autumn,10.383333333333333,6.666666666666667,2025-10-28
2025-10-28 20:00:00,2025-10-28 20:00:00,10.4,0.0,8,210,25000.0,60,25,82,Autumn,10.1,6.666666666666667,2025-10-28
2025-10-28 21:00:00,2025-10-28 21:00:00,9.2,0.3,10,230,8000.0,30,80,82,Autumn,9.866666666666665,8.0,2025-10-28
2025-10-28 22:00:00,2025-10-28 22:00:00,9.2,0.7,9,240,20000.0,40,25,82,Autumn,9.616666666666667,9.0,2025-10-28
2025-10-28 23:00:00,2025-10-28 23:00:00,8.7,0.0,9,230,20000.0,40,2,11,Autumn,9.4,9.333333333333334,2025-10-28
2025-10-29 00:00:00,2025-10-29 00:00:00,8.5,0.0,7,230,20000.0,200,2,82,Autumn,9.25,8.333333333333334,2025-10-29
